Shelter,Plot,Subplot,Subplot ID,Species,Moisture 1,Moisture 2,Moisture 3,Moisture 4,Moisture 5,Comment 
1,7,B,S1P7,BIS,9.9,15.5,9.9,6.6,11.9,
1,8,B,S1P8,BIS,10.1,8.5,8.6,6.5,12.9,
2,1,D,S2P1,BIS,7.9,8.1,9.3,12.1,15.2,
2,2,D,S2P2,BIS,11.4,8.5,10.6,10.1,15.6,
3,7,B,S3P7,BIS,12.1,10.8,11.9,4.5,6.5,
3,8,C,S3P8,BIS,8.8,15.4,8.8,7.9,10,
4,7,B,S4P7,BIS,9.9,10.4,9.3,8.5,13.6,
4,8,D,S4P8,BIS,9.8,8.1,8.4,8.8,NA,
5,1,C,S5P1,BIS,9.5,11.5,11.3,8.2,10.3,
5,2,A,S5P2,BIS,8.5,7.5,9.6,8.9,NA,
6,7,D,S6P7,BIS,10.6,8.7,10.8,7.6,5.8,
6,8,C,S6P8,BIS,8,8.4,5.9,3.1,3.1,
1,7,A,S1P7,D/BIS,12.1,9.9,14.2,11.9,11.3,
1,8,C,S1P8,D/BIS,10.5,8.2,8.2,9.8,14.9,
2,1,B,S2P1,D/BIS,12.5,12.1,9.6,6.9,11.2,
2,2,C,S2P2,D/BIS,12.3,13.1,13.2,15.2,13.4,
3,7,C,S3P7,D/BIS,10.7,12.5,13.3,8.6,5.6,
3,8,A,S3P8,D/BIS,10.3,5.2,7.9,9.7,9.1,
4,7,C,S4P7,D/BIS,9.1,9.3,11.7,11.4,12.4,
4,8,A,S4P8,D/BIS,11.8,11.8,12.2,7.6,6.6,
5,1,D,S5P1,D/BIS,12.6,9.2,11.3,9.9,10.3,
5,2,C,S5P2,D/BIS,12.8,9.3,9.4,9.6,7.1,Cynodon
6,7,C,S6P7,D/BIS,11.8,8.8,7.4,8.7,8.4,
6,8,A,S6P8,D/BIS,11.6,8.2,11.2,11.3,10.7,
1,7,D,S1P7,DIG,10.6,4.8,12.3,8.6,15.5,
1,8,A,S1P8,DIG,9.8,13.2,13.8,6.3,14.8,
2,1,A,S2P1,DIG,8.9,6.9,14.1,7.8,15.6,2:00
2,2,B,S2P2,DIG,8.9,10.9,11.3,10,13.5,
3,7,D,S3P7,DIG,8.3,4.3,13.8,8.9,13.5,
3,8,D,S3P8,DIG,8.3,7.9,10.1,12.2,14.2,
4,7,A,S4P7,DIG,8.8,8,7.5,8.8,8.3,
4,8,C,S4P8,DIG,11.7,8.5,7.3,8.9,8.9,
5,1,B,S5P1,DIG,12.4,13.6,10.8,7.1,10.3,
5,2,B,S5P2,DIG,11.9,11.9,13,11.5,11.1,
6,7,B,S6P7,DIG,10.8,9.8,8.4,11.6,7.8,
6,8,B,S6P8,DIG,11.4,601,9.2,11.9,6.9,
1,3,C,S1P3,FES,8.5,7.7,9.7,9.4,14.9,
1,4,A,S1P4,FES,9.3,6.7,9.1,6.8,11,
1,5,C,S1P5,FES,10.1,5.3,7.3,6.4,7.3,
1,6,B,S1P6,FES,6,5.4,5.3,6.2,10.7,
2,3,C,S2P3,FES,9.3,10.7,9,5.6,6.5,
2,4,C,S2P4,FES,9.2,4.3,7.3,8.9,7.5,
2,5,B,S2P5,FES,7.3,5.2,4.4,5.9,13.8,
2,6,D,S2P6,FES,7.7,7.3,7.1,6.2,6.3,
3,3,D,S3P3,FES,7.2,5.9,6.1,8.9,8.9,
3,4,B,S3P4,FES,8.8,7.8,5.8,7.4,6.5,
3,5,D,S3P5,FES,9.9,6.2,10.4,7.7,7.5,
3,6,B,S3P6,FES,8.4,8.8,6.4,10.3,15.5,
4,3,B,S4P3,FES,9.5,8.9,8.4,8.6,7.8,
4,4,C,S4P4,FES,11.1,8.9,8.7,9.8,7.5,
4,5,A,S4P5,FES,10.8,10.3,10.2,8.9,7.7,
4,6,A,S4P6,FES,9.8,6.9,5.7,9.9,8.7,
5,3,A,S5P3,FES,5.1,7.3,6.7,9.9,9.7,
5,4,A,S5P4,FES,9.4,10.4,7.4,8.2,7.9,
5,5,D,S5P5,FES,7.9,7.1,7.8,7.7,10.7,
5,6,C,S5P6,FES,7.9,7.9,9.1,7.9,8.1,
6,3,D,S6P3,FES,8,8.9,6.4,8.4,9.9,
6,4,C,S6P4,FES,9.2,8,7.9,6.7,9.9,
6,5,D,S6P5,FES,10.2,16.8,6.8,NA,5.1,
6,6,B,S6P6,FES,8.8,6.2,9.2,6.6,8,
1,3,B,S1P3,K/W,12.6,12.9,16.9,14.2,16,
1,4,D,S1P4,K/W,11.5,12.2,11.9,7.2,15.6,
1,5,A,S1P5,K/W,18.1,10.7,13.4,16,15.4,
1,6,C,S1P6,K/W,12,9.9,10.4,14.1,17.1,
2,3,D,S2P3,K/W,12.5,10.6,12.3,9.7,11.1,
2,4,D,S2P4,K/W,12.9,13.3,10.9,14.5,18.5,
2,5,D,S2P5,K/W,11.8,10.2,14.2,12.7,13.2,
2,6,B,S2P6,K/W,14.9,10.2,10.4,6.2,11.8,
3,3,C,S3P3,K/W,14.9,13.1,16.5,7.1,18.1,
3,4,A,S3P4,K/W,13.1,11.9,10.1,15.7,16.4,
3,5,B,S3P5,K/W,14.7,17.6,10.6,13.5,11.8,
3,6,D,S3P6,K/W,14.8,10.4,15.4,13.5,16.8,
4,3,A,S4P3,K/W,17.2,8.6,NA,14.1,12.3,
4,4,B,S4P4,K/W,12.3,10.9,15,12.8,14.2,
4,5,D,S4P5,K/W,17.9,11.9,15,12.9,14.5,
4,6,B,S4P6,K/W,12.1,12.7,15.8,13.7,10.3,
5,3,B,S5P3,K/W,15.2,14.2,NA,10.9,8.7,
5,4,C,S5P4,K/W,17.9,11.8,17.4,9.2,15.2,
5,5,A,S5P5,K/W,14.2,11.3,16.2,9.6,7.6,
5,6,B,S5P6,K/W,15.5,15.6,14.7,13.2,14.4,
6,3,A,S6P3,K/W,14.9,12.7,18.6,11.5,13.7,
6,4,B,S6P4,K/W,13.4,17.2,12.8,9.5,5.9,
6,5,C,S6P5,K/W,13.5,10.8,14.7,12.9,16.9,
6,6,A,S6P6,K/W,14.7,16.8,17.2,NA,12.9,
1,1,C,S1P1,KAN,10.6,15.9,14.9,NA,16.9,
1,2,D,S1P2,KAN,11.9,11.2,10.6,13.2,12.9,
2,7,C,S2P7,KAN,10.6,12.4,6.3,7.3,16.4,
2,8,D,S2P8,KAN,NA ,10.9,NA,11.6,11.9,
3,1,D,S3P1,KAN,12.6,12.6,8,NA,9.5,
3,2,A,S3P2,KAN,11.1,6.9,6.5,13.6,11.5,
4,1,D,S4P1,KAN,10.6,13.7,7.7,11,10.7,
4,2,C,S4P2,KAN,NA,10.8,10.9,9.6,8.6,
5,7,C,S5P7,KAN,10.5,6.6,10.1,10.9,5.6,
5,8,D,S5P8,KAN,12.2,9.5,13.5,10.3,11.8,
6,1,B,S6P1,KAN,9.5,7.2,12.9,14.4,7.4,
6,2,A,S6P2,KAN,6.1,10.3,10.6,10.5,15.1,
1,3,D,S1P3,LUC,8.6,10.2,7.9,9.1,10.9,
1,4,C,S1P4,LUC,10.1,5.8,7.1,9.9,7.3,
1,5,B,S1P5,LUC,9.6,5.3,4.9,12,15.1,
1,6,A,S1P6,LUC,5.6,5.5,5,6.9,14.4,
2,3,B,S2P3,LUC,10.7,7.3,8.7,12.4,7.2,
2,4,A,S2P4,LUC,8.8,6.1,5.1,10.3,8.4,
2,5,C,S2P5,LUC,12.1,12.3,10.4,11.6,12.4,
2,6,A,S2P6,LUC,9.6,7.9,6.9,10.7,13.6,
3,3,B,S3P3,LUC,7.9,5.7,9,8.6,8.1,
3,4,C,S3P4,LUC,12.2,5.2,9.9,11.3,11.9,
3,5,C,S3P5,LUC,9.1,10.2,10.4,9.7,15.7,
3,6,C,S3P6,LUC,11.3,12.2,12,8.4,9.9,
4,3,D,S4P3,LUC,9.7,9.6,7.9,7.8,11.8,
4,4,D,S4P4,LUC,6.9,10.1,9.9,8.1,12.7,
4,5,C,S4P5,LUC,8.5,7.6,7.8,9.8,8.9,
4,6,D,S4P6,LUC,8.5,9.8,9.6,9.7,14,
5,3,C,S5P3,LUC,7.8,7.4,9.5,9.1,14.6,
5,4,D,S5P4,LUC,8.1,9.9,9.1,8.1,10.1,
5,5,B,S5P5,LUC,9.3,8.6,6.1,6.9,8.1,
5,6,A,S5P6,LUC,5.6,7.1,8.2,7.2,15,
6,3,B,S6P3,LUC,8.9,7.9,8.9,8.2,5.8,
6,4,D,S6P4,LUC,9.9,10.6,11.4,11.8,18.6,
6,5,A,S6P5,LUC,7.4,7.2,7.3,9.4,3.8,
6,6,D,S6P6,LUC,9.3,10.8,9.1,9.4,13.2,
1,3,A,S1P3,P/SUB,9.7,5.7,7.7,6.9,3.7,missing herbiciding this plot
1,4,B,S1P4,P/SUB,11.7,5.7,8.2,11.3,13,
1,5,D,S1P5,P/SUB,10.9,7.9,11.6,10.3,13.3,
1,6,D,S1P6,P/SUB,4.9,4,7.2,6.9,7,
2,3,A,S2P3,P/SUB,13.1,7.3,9.6,11.7,3.8,
2,4,B,S2P4,P/SUB,8.8,5.1,7.3,8.9,11,
2,5,A,S2P5,P/SUB,11,8.9,11.5,8.8,15.9,
2,6,C,S2P6,P/SUB,10.2,7.4,12.3,4.3,6.9,
3,3,A,S3P3,P/SUB,8.5,6.7,8.4,5.1,2.7,
3,4,D,S3P4,P/SUB,9,7.7,8.2,7.1,7.4,
3,5,A,S3P5,P/SUB,10.5,7.9,8.3,7.9,9.9,
3,6,A,S3P6,P/SUB,7.6,6.5,8.2,6.7,5.3,
4,3,C,S4P3,P/SUB,9.9,8.7,11.7,10,10.8,
4,4,A,S4P4,P/SUB,9.4,11.4,10.6,9.9,10.6,
4,5,B,S4P5,P/SUB,10.4,8.6,7.9,7.6,7.5,
4,6,C,S4P6,P/SUB,10.7,8.4,8.5,9.4,9.7,
5,3,D,S5P3,P/SUB,8.9,7.5,10.1,8.8,8.1,
5,4,B,S5P4,P/SUB,10.8,9.4,10.4,10.1,9.9,
5,5,C,S5P5,P/SUB,4.2,12.1,10.5,14.9,14.1,
5,6,D,S5P6,P/SUB,8.9,9.2,10.1,7.6,13.8,
6,3,C,S6P3,P/SUB,9.1,5.4,6.8,7.9,14.8,
6,4,A,S6P4,P/SUB,6.6,9.1,7.5,11.2,10.6,
6,5,B,S6P5,P/SUB,NA,8.8,9.8,8.1,12.5,
6,6,C,S6P6,P/SUB,8.8,9.1,8.2,7.4,13.5,
1,1,D,S1P1,PHA,17.6,16.7,10.2,13.6,16.1,
1,2,A,S1P2,PHA,14.8,13,13.8,14.4,18,
2,7,A,S2P7,PHA,11.5,10.5,12.5,9.6,17.3,
2,8,B,S2P8,PHA,NA,9.9,11.9,11,16.8,
3,1,C,S3P1,PHA,10.3,9.8,10.7,9.4,16.7,
3,2,C,S3P2,PHA,15.2,10.9,NA,14.9,15.1,
4,1,A,S4P1,PHA,10.3,NA,10.6,10.6,10.4,2:30
4,2,A,S4P2,PHA,10.4,8.7,10.5,11.1,11.2,
5,7,B,S5P7,PHA,14.2,12.9,12.8,NA,18.7,
5,8,C,S5P8,PHA,NA,NA,11.7,10.5,15,
6,1,A,S6P1,PHA,NA,13.9,11.1,18.2,23.4,4:45
6,2,C,S6P2,PHA,15,12.3,12.9,16.9,20.9,
1,7,C,S1P7,RHO,8.7,11.4,9.8,6.6,11.9,
1,8,D,S1P8,RHO,8.6,6.6,8.4,11.1,16.7,
2,1,C,S2P1,RHO,7.1,7.7,8.6,7.5,18.9,
2,2,A,S2P2,RHO,13.8,9.9,10.5,14.2,8.2,
3,7,A,S3P7,RHO,8.8,5.4,6.2,7.5,6.7,
3,8,B,S3P8,RHO,9.6,5.9,7.1,7.8,8.7,
4,7,D,S4P7,RHO,10.6,6.6,8.9,7.9,7.1,
4,8,B,S4P8,RHO,9.2,7.7,7.6,7.8,4.2,
5,1,A,S5P1,RHO,8.7,6,6.2,7.6,4.2,3:50
