Shelter,Plot,Subplot,Species,Moisture 1,Moisture 2,Moisture 3,Moisture 4,Moisture 5,Comment 
1,1,A,RYE,1.7,1.3,1.2,1.2,1.6,13:45
1,1,C,KAN,6.3,4,6.2,6.1,5.1,
1,2,B,RYE,2.5,1.9,1.7,1.9,2.7,
1,2,D,KAN,12.4,8.9,6.9,4.9,4.9,
1,3,B,K/W,3,4.8,1.9,1.6,3.1,
1,3,C,FES,1,0.7,0.2,0.7,1.1,
1,3,D,LUC,4.5,3.4,4.3,3.4,3.5,
1,4,A,FES,0.5,0.5,0.4,0,1,
1,4,C,LUC,1.9,0.4,0.4,1.8,1.3,
1,4,D,K/W,2.3,5.6,6.3,2.4,7.9,
1,5,A,K/W,2.3,1.5,0.3,1.9,1.5,
1,5,B,LUC,2.9,4.1,3,1.8,2.4,
1,5,C,FES,0.6,0,0.4,0.6,0.5,
1,6,A,LUC,2.8,1.2,1.3,4.1,2.9,
1,6,B,FES,0.4,0.9,1.1,0.9,1.4,
1,6,C,K/W,9.3,6.2,5.5,8.3,9,
1,7,A,D/BIS,5.3,3.3,4.5,7.5,4.6,
1,7,B,BIS,2.3,3.8,2.3,2.3,3.6,
1,7,C,RHO,2.3,1.4,1.6,1.4,1.7,
1,7,D,DIG,5.9,2.1,4.3,3.8,3.9,
1,8,A,DIG,7.3,8.2,10.2,4.9,6.6,
1,8,B,BIS,3,1.7,2.5,2.1,2.5,
1,8,C,D/BIS,5.6,2.5,3,2.4,5.2,
1,8,D,RHO,4.3,4.1,4.3,1.9,6.8,
2,1,A,DIG,,,8.2,,,
2,1,B,D/BIS,,,2.9,,,
2,1,C,RHO,,,3.9,,,
2,1,D,BIS,,,1.9,,,
2,2,A,RHO,,,1.4,,,
2,2,B,DIG,,,3.4,,,
2,2,C,D/BIS,,,3.6,,,
2,2,D,BIS,,,2.1,,,
2,3,B,LUC,,,3.2,,,14:30
2,3,C,FES,,,0.2,,,
2,3,D,K/W,,,0,,,
2,4,A,LUC,,,2.8,,,
2,4,C,FES,,,0.2,,,
2,4,D,K/W,,,0.1,,,
2,5,B,FES,,,1.2,,,
2,5,C,LUC,,,6.3,,,
2,5,D,K/W,,,6.9,,,
2,6,A,LUC,,,2.9,,,
2,6,B,K/W,,,2.1,,,
2,6,D,FES,,,0.8,,,
2,7,C,KAN,,,2.9,,,
2,7,D,RYE,,,2.2,,,
2,8,A,RYE,,,1.6,,,
2,8,D,KAN,,,7.6,,,
3,1,A,RYE,,,1.6,,,
3,1,D,KAN,,,4.1,,,
3,2,A,KAN,,,0.6,,,
3,2,B,RYE,,,1.5,,,
3,3,B,LUC,,,1.4,,,
3,3,C,K/W,,,10.1,,,
