TimeStamp,Shelter,Plot,Subplot,Latitude,Longitude,Moisture ( % ),Period ( us ),Attenuation,Permittivity,Probe Model
6/09/2018 12:38:15,1,1,A,-33.61013,150.7397,2.25,1.1224,1.0207,2.7214,CD659 12cm rods
6/09/2018 12:38:33,1,1,A,-33.61013,150.73967,1.91,1.1156,1.0216,2.594,CD659 12cm rods
6/09/2018 12:38:52,1,1,A,-33.61013,150.73967,2.46,1.1269,1.0214,2.8036,CD659 12cm rods
6/09/2018 12:39:14,1,1,A,-33.61013,150.73965,2.64,1.1303,1.0206,2.8702,CD659 12cm rods
6/09/2018 12:39:27,1,1,A,-33.61011,150.73965,3.05,1.1393,1.025,3.0295,CD659 12cm rods
6/09/2018 12:39:42,1,1,B,-33.6101,150.73967,5.36,1.1823,1.0196,3.9334,CD659 12cm rods
6/09/2018 12:40:04,1,1,B,-33.6101,150.73967,7.22,1.2162,1.0266,4.6866,CD659 12cm rods
6/09/2018 12:40:17,1,1,B,-33.6101,150.73967,8.27,1.2354,1.0393,5.1224,CD659 12cm rods
6/09/2018 12:40:34,1,1,B,-33.6101,150.73967,5.85,1.1924,1.0294,4.1311,CD659 12cm rods
6/09/2018 12:41:02,1,1,B,-33.61011,150.73969,6.52,1.2049,1.0344,4.4012,CD659 12cm rods
6/09/2018 12:41:25,1,1,C,-33.61012,150.7397,7.84,1.2297,1.0549,4.9436,CD659 12cm rods
6/09/2018 12:41:44,1,1,C,-33.61011,150.7397,5.71,1.1902,1.0321,4.0729,CD659 12cm rods
6/09/2018 12:41:57,1,1,C,-33.61012,150.7397,4.47,1.1789,1.1108,3.5797,CD659 12cm rods
6/09/2018 12:42:09,1,1,C,-33.61013,150.7397,5.33,1.1834,1.0319,3.9231,CD659 12cm rods
6/09/2018 12:42:26,1,1,C,-33.61013,150.73972,5.62,1.1879,1.0275,4.035501,CD659 12cm rods
6/09/2018 12:42:40,1,1,D,-33.61014,150.73967,7.28,1.2184,1.038,4.7115,CD659 12cm rods
6/09/2018 12:42:51,1,1,D,-33.61015,150.73967,7.61,1.223,1.0272,4.8472,CD659 12cm rods
6/09/2018 12:43:05,1,1,D,-33.61015,150.73969,7.929999,1.2275,1.0183,4.9783,CD659 12cm rods
6/09/2018 12:43:18,1,1,D,-33.61014,150.73969,6.24,1.1992,1.0284,4.2874,CD659 12cm rods
6/09/2018 12:43:31,1,1,D,-33.61013,150.73969,6.539999,1.2049,1.0317,4.4084,CD659 12cm rods
6/09/2018 12:43:48,1,2,A,-33.61009,150.73972,7,1.2128,1.0311,4.5949,CD659 12cm rods
6/09/2018 12:44:06,1,2,A,-33.6101,150.73969,6.61,1.206,1.0315,4.435101,CD659 12cm rods
6/09/2018 12:44:18,1,2,A,-33.61008,150.7397,8.2,1.2343,1.0398,5.0932,CD659 12cm rods
6/09/2018 12:44:32,1,2,A,-33.61009,150.73969,9.26,1.2546,1.0715,5.5373,CD659 12cm rods
6/09/2018 12:44:44,1,2,A,-33.6101,150.73967,12.99,1.3134,1.0676,7.1818,CD659 12cm rods
6/09/2018 12:44:57,1,2,B,-33.61009,150.73972,7.74,1.2286,1.0605,4.9014,CD659 12cm rods
6/09/2018 12:45:08,1,2,B,-33.61009,150.73972,5.29,1.1845,1.0461,3.9067,CD659 12cm rods
6/09/2018 12:45:27,1,2,B,-33.61008,150.73972,4.5,1.1698,1.0439,3.5933,CD659 12cm rods
6/09/2018 12:45:39,1,2,B,-33.61008,150.7397,7.38,1.223,1.0638,4.7539,CD659 12cm rods
6/09/2018 12:45:50,1,2,B,-33.61008,150.73972,10.14,1.2693,1.0772,5.9164,CD659 12cm rods
6/09/2018 12:46:07,1,2,C,-33.61009,150.73973,11.2,1.284,1.0484,6.3795,CD659 12cm rods
6/09/2018 12:46:21,1,2,C,-33.61007,150.73975,10.8,1.2783,1.059,6.2023,CD659 12cm rods
6/09/2018 12:46:45,1,2,C,-33.61008,150.73975,10.87,1.2795,1.0596,6.2321,CD659 12cm rods
6/09/2018 12:47:00,1,2,C,-33.61008,150.73973,6.67,1.2071,1.0317,4.4609,CD659 12cm rods
6/09/2018 12:47:16,1,2,C,-33.61007,150.73976,11.2,1.2851,1.0644,6.3786,CD659 12cm rods
6/09/2018 12:47:30,1,2,D,-33.6101,150.73972,14.26,1.3326,1.0632,7.7643,CD659 12cm rods
6/09/2018 12:47:42,1,2,D,-33.6101,150.73972,10.32,1.2693,1.0408,5.9951,CD659 12cm rods
