Date,StartTime,Subplot ID,Sp.Abv.,Soil Moisture
25/09/2018,10:00,S1P1A,Rye,<3
25/09/2018,10:00,S1P1A,Rye,0.9
25/09/2018,10:00,S1P1A,Rye,<3
25/09/2018,10:00,S1P1A,Rye,<3
25/09/2018,10:00,S1P1A,Rye,<3
25/09/2018,10:00,S1P1B,Wal,2.4
25/09/2018,10:00,S1P1B,Wal,7.3
25/09/2018,10:00,S1P1B,Wal,12.2
25/09/2018,10:00,S1P1B,Wal,<3
25/09/2018,10:00,S1P1B,Wal,1.7
25/09/2018,10:00,S1P1C,Kan,2.2
25/09/2018,10:00,S1P1C,Kan,<3
25/09/2018,10:00,S1P1C,Kan,0.7
25/09/2018,10:00,S1P1C,Kan,0.7
25/09/2018,10:00,S1P1C,Kan,1.5
25/09/2018,10:00,S1P1D,Pha,5.6
25/09/2018,10:00,S1P1D,Pha,2.9
25/09/2018,10:00,S1P1D,Pha,7.6
25/09/2018,10:00,S1P1D,Pha,3.7
25/09/2018,10:00,S1P1D,Pha,2.4
25/09/2018,10:00,S1P2A,Pha,4.7
25/09/2018,10:00,S1P2A,Pha,<3
25/09/2018,10:00,S1P2A,Pha,2.9
25/09/2018,10:00,S1P2A,Pha,2.7
25/09/2018,10:00,S1P2A,Pha,10.9
25/09/2018,10:00,S1P2B,Rye,4.6
25/09/2018,10:00,S1P2B,Rye,1.7
25/09/2018,10:00,S1P2B,Rye,2.4
25/09/2018,10:00,S1P2B,Rye,<3
25/09/2018,10:00,S1P2B,Rye,<3
25/09/2018,10:00,S1P2C,Wal,4.8
25/09/2018,10:00,S1P2C,Wal,<3
25/09/2018,10:00,S1P2C,Wal,3
25/09/2018,10:00,S1P2C,Wal,2
25/09/2018,10:00,S1P2C,Wal,12.4
25/09/2018,10:00,S1P2D,Kan,14.4
25/09/2018,10:00,S1P2D,Kan,7.8
25/09/2018,10:00,S1P2D,Kan,8.1
25/09/2018,10:00,S1P2D,Kan,2.5
25/09/2018,10:00,S1P2D,Kan,2.4
25/09/2018,10:00,S1P3A,PhaSub,6.1
25/09/2018,10:00,S1P3A,PhaSub,1.9
25/09/2018,10:00,S1P3A,PhaSub,11.6
25/09/2018,10:00,S1P3A,PhaSub,1.4
25/09/2018,10:00,S1P3A,PhaSub,4.8
25/09/2018,10:00,S1P3B,KanWal,1.1
25/09/2018,10:00,S1P3B,KanWal,0.3
25/09/2018,10:00,S1P3B,KanWal,0.9
25/09/2018,10:00,S1P3B,KanWal,0.3
25/09/2018,10:00,S1P3B,KanWal,<3
25/09/2018,10:00,S1P3C,Fes,<3
25/09/2018,10:00,S1P3C,Fes,<3
25/09/2018,10:00,S1P3C,Fes,0.4
25/09/2018,10:00,S1P3C,Fes,<3
25/09/2018,10:00,S1P3C,Fes,<3
25/09/2018,10:00,S1P3D,Luc,0.8
25/09/2018,10:00,S1P3D,Luc,<3
25/09/2018,10:00,S1P3D,Luc,1.9
25/09/2018,10:00,S1P3D,Luc,<3
25/09/2018,10:00,S1P3D,Luc,<3
25/09/2018,10:00,S1P4A,Fes,2.7
25/09/2018,10:00,S1P4A,Fes,<3
25/09/2018,10:00,S1P4A,Fes,<3
25/09/2018,10:00,S1P4A,Fes,0.5
25/09/2018,10:00,S1P4A,Fes,<3
25/09/2018,10:00,S1P4B,PhaSub,2.7
25/09/2018,10:00,S1P4B,PhaSub,1.9
25/09/2018,10:00,S1P4B,PhaSub,6.8
25/09/2018,10:00,S1P4B,PhaSub,1.5
25/09/2018,10:00,S1P4B,PhaSub,4.2
25/09/2018,10:00,S1P4C,Luc,<3
25/09/2018,10:00,S1P4C,Luc,<3
25/09/2018,10:00,S1P4C,Luc,0.8
