DateTime,Subplot ID,Sp.Abv.,Moisture ( % ),Period ( us ),Attenuation,Permittivity,Probe Model
5/11/2018 12:53:15,S1P1A,Rye,3.59,1.1551,1.0589,3.2368,CD659 12cm rods
5/11/2018 12:53:24,S1P1A,Rye,1.56,1.1111,1.0357,2.4618,CD659 12cm rods
5/11/2018 12:53:32,S1P1A,Rye,3.35,1.1472,1.0385,3.1421,CD659 12cm rods
5/11/2018 12:53:44,S1P1A,Rye,4.21,1.1653,1.0495,3.4798,CD659 12cm rods
5/11/2018 12:53:53,S1P1A,Rye,5.89,1.197,1.0604,4.1463,CD659 12cm rods
5/11/2018 12:54:06,S1P1B,Wal,4.02,1.1608,1.0431,3.4051,CD659 12cm rods
5/11/2018 12:54:21,S1P1B,Wal,4.33,1.1653,1.0352,3.5243,CD659 12cm rods
5/11/2018 12:54:32,S1P1B,Wal,7.820001,1.2297,1.0581,4.9356,CD659 12cm rods
5/11/2018 12:54:50,S1P1B,Wal,0,1.0704,1.0123,1.8645,CD659 12cm rods
5/11/2018 12:55:07,S1P1B,Wal,3.67,1.1529,1.0348,3.268,CD659 12cm rods
5/11/2018 12:55:23,S1P1C,Kan,6.2,1.2015,1.0533,4.2709,CD659 12cm rods
5/11/2018 13:02:50,S1P1C,Kan,5.63,1.1902,1.0437,4.0398,CD659 12cm rods
5/11/2018 13:02:58,S1P1C,Kan,5.72,1.2015,1.1191,4.0772,CD659 12cm rods
5/11/2018 13:03:12,S1P1C,Kan,3.63,1.1506,1.0254,3.2522,CD659 12cm rods
5/11/2018 13:03:23,S1P1C,Kan,8.48,1.2399,1.0496,5.2111,CD659 12cm rods
5/11/2018 13:03:36,S1P1D,Pha,6.45,1.206,1.0547,4.3724,CD659 12cm rods
5/11/2018 13:03:44,S1P1D,Pha,4.54,1.1698,1.0387,3.6092,CD659 12cm rods
5/11/2018 13:03:51,S1P1D,Pha,6.25,1.2026,1.0559,4.2897,CD659 12cm rods
5/11/2018 13:04:05,S1P1D,Pha,4.87,1.1755,1.0356,3.7399,CD659 12cm rods
5/11/2018 13:04:13,S1P1D,Pha,7.48,1.2241,1.0592,4.7937,CD659 12cm rods
5/11/2018 13:04:48,S1P2A,Pha,13.17,1.3168,1.079,7.2615,CD659 12cm rods
5/11/2018 13:05:03,S1P2A,Pha,12.23,1.3021,1.0759,6.836801,CD659 12cm rods
5/11/2018 13:05:15,S1P2A,Pha,13.75,1.3258,1.0802,7.5304,CD659 12cm rods
5/11/2018 13:05:22,S1P2A,Pha,13.85,1.3269,1.0741,7.5751,CD659 12cm rods
5/11/2018 13:05:34,S1P2A,Pha,12.02,1.2998,1.0914,6.741,CD659 12cm rods
5/11/2018 13:05:42,S1P2B,Rye,12.33,1.3043,1.0867,6.8813,CD659 12cm rods
5/11/2018 13:05:49,S1P2B,Rye,10.25,1.2716,1.083,5.9648,CD659 12cm rods
5/11/2018 13:06:00,S1P2B,Rye,10.77,1.2795,1.0794,6.1902,CD659 12cm rods
5/11/2018 13:06:08,S1P2B,Rye,12.69,1.31,1.0878,7.0446,CD659 12cm rods
5/11/2018 13:06:20,S1P2B,Rye,15.25,1.3484,1.0787,8.2299,CD659 12cm rods
5/11/2018 13:06:28,S1P2C,Wal,12.74,1.3145,1.1435,7.0679,CD659 12cm rods
5/11/2018 13:06:37,S1P2C,Wal,11.61,1.2942,1.1,6.5604,CD659 12cm rods
5/11/2018 13:06:51,S1P2C,Wal,0.08,1.0726,1.0097,1.91,CD659 12cm rods
5/11/2018 13:07:00,S1P2C,Wal,15.08,1.3484,1.1261,8.153501,CD659 12cm rods
5/11/2018 13:07:31,S1P2C,Wal,13.58,1.3224,1.067,7.4511,CD659 12cm rods
5/11/2018 16:48:52,S1P2D,Kan,13.07,1.3145,1.0677,7.2149,CD659 12cm rods
5/11/2018 16:49:02,S1P2D,Kan,11.58,1.2908,1.0602,6.5451,CD659 12cm rods
5/11/2018 16:49:11,S1P2D,Kan,11.77,1.2942,1.0652,6.6312,CD659 12cm rods
5/11/2018 16:49:28,S1P2D,Kan,5.09,1.1789,1.0315,3.8253,CD659 12cm rods
5/11/2018 16:49:38,S1P2D,Kan,5.85,1.1958,1.0573,4.1292,CD659 12cm rods
5/11/2018 13:09:00,S1P3A,PhaSub,5.71,1.1981,1.0943,4.0727,CD659 12cm rods
5/11/2018 13:09:08,S1P3A,PhaSub,6.320001,1.2139,1.1384,4.3194,CD659 12cm rods
5/11/2018 13:09:15,S1P3A,PhaSub,7.84,1.2354,1.1099,4.9418,CD659 12cm rods
5/11/2018 13:09:29,S1P3A,PhaSub,4.19,1.1676,1.0674,3.4715,CD659 12cm rods
