TimeStamp,Subplot ID,Sp.Abv.,Moisture ( % ),Period ( us ),Attenuation,Permittivity,Probe Model
30/04/2019 10:59,S1P1A,Rye,5.21,1.1857,1.0657,3.8739,CD659 12cm rods
30/04/2019 10:59,S1P1A,Rye,6.62,1.2162,1.1166,4.4405,CD659 12cm rods
30/04/2019 10:59,S1P1A,Rye,5.67,1.1902,1.0377,4.057,CD659 12cm rods
30/04/2019 10:59,S1P1A,Rye,6.41,1.2049,1.0507,4.3569,CD659 12cm rods
30/04/2019 10:59,S1P1A,Rye,3.71,1.1529,1.0299,3.2837,CD659 12cm rods
30/04/2019 11:00,S1P1B,Wal,0,1.024,1.004,1.2362,CD659 12cm rods
30/04/2019 11:00,S1P1B,Wal,5.48,1.1891,1.0546,3.9829,CD659 12cm rods
30/04/2019 11:00,S1P1B,Wal,2.68,1.1325,1.0282,2.8878,CD659 12cm rods
30/04/2019 11:00,S1P1B,Wal,2.55,1.1292,1.0241,2.8371,CD659 12cm rods
30/04/2019 11:00,S1P1B,Wal,4.44,1.1653,1.0208,3.5678,CD659 12cm rods
30/04/2019 11:00,S1P1C,Kan,1.03,1.0952,1.0137,2.2643,CD659 12cm rods
30/04/2019 11:01,S1P1C,Kan,2.16,1.1246,1.0425,2.6881,CD659 12cm rods
30/04/2019 11:01,S1P1C,Kan,3,1.1438,1.0586,3.0071,CD659 12cm rods
30/04/2019 11:01,S1P1C,Kan,2.07,1.1201,1.0278,2.655,CD659 12cm rods
30/04/2019 11:01,S1P1C,Kan,3.8,1.154,1.0263,3.3181,CD659 12cm rods
30/04/2019 11:01,S1P1D,Pha,3.16,1.1416,1.0254,3.0725,CD659 12cm rods
30/04/2019 11:01,S1P1D,Pha,3.99,1.1585,1.0318,3.3934,CD659 12cm rods
30/04/2019 11:02,S1P1D,Pha,4.37,1.1653,1.03,3.5402,CD659 12cm rods
30/04/2019 11:02,S1P1D,Pha,4.69,1.1732,1.043,3.6689,CD659 12cm rods
30/04/2019 11:02,S1P1D,Pha,6.09,1.197,1.0327,4.2242,CD659 12cm rods
30/04/2019 11:03,S1P2A,Pha,4.52,1.1687,1.0337,3.6005,CD659 12cm rods
30/04/2019 11:03,S1P2A,Pha,1.53,1.1077,1.0226,2.4482,CD659 12cm rods
30/04/2019 11:03,S1P2A,Pha,3.45,1.1472,1.0258,3.1832,CD659 12cm rods
30/04/2019 11:03,S1P2A,Pha,5.79,1.1936,1.0476,4.1054,CD659 12cm rods
30/04/2019 11:03,S1P2A,Pha,6.42,1.2071,1.0686,4.3604,CD659 12cm rods
30/04/2019 11:03,S1P2B,Rye,4.98,1.1789,1.0456,3.7839,CD659 12cm rods
30/04/2019 11:03,S1P2B,Rye,4.76,1.1732,1.0344,3.6947,CD659 12cm rods
30/04/2019 11:04,S1P2B,Rye,4.48,1.1676,1.0306,3.586,CD659 12cm rods
30/04/2019 11:04,S1P2B,Rye,6.94,1.2139,1.0506,4.5706,CD659 12cm rods
30/04/2019 11:04,S1P2B,Rye,0,1.0681,1.0098,1.8391,CD659 12cm rods
30/04/2019 11:04,S1P2C,Wal,5.28,1.1845,1.0477,3.9021,CD659 12cm rods
30/04/2019 11:04,S1P2C,Wal,4.21,1.1653,1.0499,3.4787,CD659 12cm rods
30/04/2019 11:04,S1P2C,Wal,5.01,1.1778,1.0341,3.793,CD659 12cm rods
30/04/2019 11:05,S1P2C,Wal,3.16,1.145,1.047,3.0688,CD659 12cm rods
30/04/2019 11:05,S1P2C,Wal,7.54,1.2331,1.1332,4.819,CD659 12cm rods
30/04/2019 11:05,S1P2D,Kan,3.54,1.1495,1.0288,3.2189,CD659 12cm rods
30/04/2019 11:05,S1P2D,Kan,0,1.0625,1.0085,1.7581,CD659 12cm rods
30/04/2019 11:06,S1P2D,Kan,2.63,1.1303,1.0212,2.8681,CD659 12cm rods
30/04/2019 11:06,S1P2D,Kan,3.05,1.1416,1.0393,3.0267,CD659 12cm rods
30/04/2019 11:06,S1P2D,Kan,3.01,1.1405,1.0373,3.0112,CD659 12cm rods
30/04/2019 11:07,S1P3A,PhaSub,5.68,1.1902,1.0365,4.0603,CD659 12cm rods
30/04/2019 11:07,S1P3A,PhaSub,0.9699999,1.0941,1.0154,2.239,CD659 12cm rods
30/04/2019 11:07,S1P3A,PhaSub,3.46,1.1484,1.0313,3.1882,CD659 12cm rods
30/04/2019 11:07,S1P3A,PhaSub,4.06,1.1597,1.0303,3.4214,CD659 12cm rods
30/04/2019 11:07,S1P3A,PhaSub,5.81,1.1924,1.0354,4.1143,CD659 12cm rods
30/04/2019 11:08,S1P3B,KanWal,1.25,1.0998,1.0128,2.345,CD659 12cm rods
30/04/2019 11:08,S1P3B,KanWal,2.69,1.1314,1.0206,2.8918,CD659 12cm rods
30/04/2019 11:08,S1P3B,KanWal,2.52,1.1292,1.0281,2.8236,CD659 12cm rods
30/04/2019 11:08,S1P3B,KanWal,2.53,1.128,1.0202,2.8289,CD659 12cm rods
30/04/2019 11:08,S1P3B,KanWal,0.92,1.0919,1.0099,2.2213,CD659 12cm rods
30/04/2019 11:08,S1P3C,Fes,4.68,1.1721,1.0373,3.6617,CD659 12cm rods
30/04/2019 11:09,S1P3C,Fes,2.56,1.1359,1.0614,2.8401,CD659 12cm rods
30/04/2019 11:09,S1P3C,Fes,6.15,1.2026,1.0699,4.2501,CD659 12cm rods
30/04/2019 11:09,S1P3C,Fes,4.9,1.18,1.0647,3.751,CD659 12cm rods
30/04/2019 11:09,S1P3C,Fes,3.07,1.1393,1.0234,3.0349,CD659 12cm rods
30/04/2019 11:09,S1P3D,Luc,1.85,1.1145,1.0227,2.5696,CD659 12cm rods
30/04/2019 11:10,S1P3D,Luc,0,1.0681,1.0068,1.851,CD659 12cm rods
30/04/2019 11:10,S1P3D,Luc,1.33,1.1009,1.0104,2.3732,CD659 12cm rods
30/04/2019 11:10,S1P3D,Luc,2.97,1.1371,1.0213,2.9979,CD659 12cm rods
30/04/2019 11:10,S1P3D,Luc,5.17,1.18,1.029,3.857,CD659 12cm rods
30/04/2019 11:11,S1P4A,Fes,4.72,1.1732,1.0398,3.6785,CD659 12cm rods
30/04/2019 11:11,S1P4A,Fes,3.25,1.1484,1.056,3.1072,CD659 12cm rods
30/04/2019 11:11,S1P4A,Fes,3.88,1.1597,1.0529,3.3502,CD659 12cm rods
30/04/2019 11:12,S1P4A,Fes,4.2,1.1664,1.0586,3.4751,CD659 12cm rods
30/04/2019 11:12,S1P4A,Fes,3.29,1.1472,1.0449,3.121,CD659 12cm rods
30/04/2019 11:12,S1P4B,PhaSub,3.61,1.1506,1.0278,3.2447,CD659 12cm rods
30/04/2019 11:12,S1P4B,PhaSub,2.37,1.1269,1.0318,2.7679,CD659 12cm rods
30/04/2019 11:12,S1P4B,PhaSub,1.77,1.1167,1.0422,2.5417,CD659 12cm rods
30/04/2019 11:13,S1P4B,PhaSub,2.85,1.1405,1.055,2.9516,CD659 12cm rods
30/04/2019 11:13,S1P4B,PhaSub,4.85,1.1755,1.0384,3.7315,CD659 12cm rods
30/04/2019 11:13,S1P4C,Luc,1.59,1.1111,1.0331,2.471,CD659 12cm rods
30/04/2019 11:14,S1P4C,Luc,2.08,1.1292,1.0757,2.6565,CD659 12cm rods
30/04/2019 11:15,S1P4C,Luc,1.78,1.1269,1.0942,2.5444,CD659 12cm rods
30/04/2019 11:15,S1P4C,Luc,2.12,1.1246,1.0471,2.672,CD659 12cm rods
30/04/2019 11:15,S1P4C,Luc,1.59,1.1133,1.0445,2.4709,CD659 12cm rods
30/04/2019 11:16,S1P4D,KanWal,0,1.0365,1.0032,1.4055,CD659 12cm rods
30/04/2019 11:16,S1P4D,KanWal,0,1.0568,1.0034,1.6938,CD659 12cm rods
30/04/2019 11:16,S1P4D,KanWal,0,1.0466,1.0036,1.5454,CD659 12cm rods
30/04/2019 11:16,S1P4D,KanWal,0.6,1.0873,1.0214,2.1027,CD659 12cm rods
30/04/2019 11:17,S1P4D,KanWal,2.47,1.1303,1.0394,2.8064,CD659 12cm rods
