TimeStamp,Subplot ID,Sp.Abv.,Moisture ( % ),Period ( us ),Attenuation,Permittivity,Probe Model
3/06/2019 11:00,S1P1A,Rye,10.74,1.2806,1.0997,6.177,CD659 12cm rods
3/06/2019 11:00,S1P1A,Rye,9.74,1.267,1.1239,5.7444,CD659 12cm rods
3/06/2019 11:00,S1P1A,Rye,10.67,1.2772,1.0697,6.1486,CD659 12cm rods
3/06/2019 11:00,S1P1A,Rye,8.08,1.2399,1.1162,5.0411,CD659 12cm rods
3/06/2019 11:00,S1P1A,Rye,7.95,1.232,1.0603,4.9862,CD659 12cm rods
3/06/2019 11:01,S1P1B,Wal,11.02,1.2851,1.1018,6.2994,CD659 12cm rods
3/06/2019 11:01,S1P1B,Wal,10.26,1.2704,1.0678,5.9678,CD659 12cm rods
3/06/2019 11:01,S1P1B,Wal,9.02,1.249,1.0512,5.4378,CD659 12cm rods
3/06/2019 11:01,S1P1B,Wal,8.2,1.2365,1.0631,5.0926,CD659 12cm rods
3/06/2019 11:01,S1P1B,Wal,8.89,1.2456,1.0385,5.3805,CD659 12cm rods
3/06/2019 11:01,S1P1C,Kan,11.41,1.2885,1.066,6.4702,CD659 12cm rods
3/06/2019 11:01,S1P1C,Kan,8.23,1.2388,1.0804,5.1061,CD659 12cm rods
3/06/2019 11:02,S1P1C,Kan,9.460001,1.2614,1.1103,5.6243,CD659 12cm rods
3/06/2019 11:02,S1P1C,Kan,10.98,1.2817,1.066,6.2811,CD659 12cm rods
3/06/2019 11:02,S1P1C,Kan,14,1.3281,1.0519,7.6454,CD659 12cm rods
3/06/2019 11:02,S1P1D,Pha,9.79,1.2614,1.0497,5.7656,CD659 12cm rods
3/06/2019 11:02,S1P1D,Pha,6.37,1.2037,1.047,4.3407,CD659 12cm rods
3/06/2019 11:02,S1P1D,Pha,9.6,1.258,1.0461,5.6843,CD659 12cm rods
3/06/2019 11:03,S1P1D,Pha,11,1.2817,1.0616,6.2903,CD659 12cm rods
3/06/2019 11:03,S1P1D,Pha,12,1.2964,1.0453,6.7331,CD659 12cm rods
3/06/2019 11:03,S1P2A,Pha,12.15,1.2998,1.0603,6.8016,CD659 12cm rods
3/06/2019 11:04,S1P2A,Pha,7.110001,1.2207,1.0857,4.6395,CD659 12cm rods
3/06/2019 11:04,S1P2A,Pha,8.42,1.2388,1.0488,5.1844,CD659 12cm rods
3/06/2019 11:04,S1P2A,Pha,10.39,1.2716,1.0554,6.0251,CD659 12cm rods
3/06/2019 11:04,S1P2A,Pha,11.6,1.2908,1.0557,6.554,CD659 12cm rods
3/06/2019 11:04,S1P2B,Rye,12.11,1.301,1.0858,6.7848,CD659 12cm rods
3/06/2019 11:04,S1P2B,Rye,9.85,1.2648,1.0785,5.7913,CD659 12cm rods
3/06/2019 11:05,S1P2B,Rye,9,1.2614,1.1838,5.4309,CD659 12cm rods
3/06/2019 11:05,S1P2B,Rye,10.66,1.2772,1.0732,6.1411,CD659 12cm rods
3/06/2019 11:05,S1P2B,Rye,6.34,1.2049,1.0608,4.329,CD659 12cm rods
3/06/2019 11:05,S1P2C,Wal,11.78,1.2964,1.0943,6.6372,CD659 12cm rods
3/06/2019 11:05,S1P2C,Wal,13.05,1.3145,1.071,7.209,CD659 12cm rods
3/06/2019 11:06,S1P2C,Wal,10.79,1.2783,1.0612,6.1976,CD659 12cm rods
3/06/2019 11:06,S1P2C,Wal,9.09,1.2524,1.0766,5.4658,CD659 12cm rods
3/06/2019 11:06,S1P2C,Wal,11.49,1.2998,1.1957,6.5069,CD659 12cm rods
3/06/2019 11:06,S1P2D,Kan,12.69,1.31,1.0874,7.0454,CD659 12cm rods
3/06/2019 11:06,S1P2D,Kan,6.5,1.2117,1.0948,4.3939,CD659 12cm rods
3/06/2019 11:06,S1P2D,Kan,10.05,1.2659,1.0528,5.8789,CD659 12cm rods
3/06/2019 11:07,S1P2D,Kan,9.960001,1.2659,1.071,5.8387,CD659 12cm rods
3/06/2019 11:07,S1P2D,Kan,10.07,1.2659,1.0498,5.8854,CD659 12cm rods
3/06/2019 11:07,S1P3A,PhaSub,11.8,1.2942,1.0578,6.6455,CD659 12cm rods
3/06/2019 11:07,S1P3A,PhaSub,7.68,1.2275,1.0591,4.8772,CD659 12cm rods
3/06/2019 11:08,S1P3A,PhaSub,10.02,1.2659,1.06,5.8633,CD659 12cm rods
3/06/2019 11:08,S1P3A,PhaSub,10.65,1.2783,1.0885,6.1391,CD659 12cm rods
3/06/2019 11:08,S1P3A,PhaSub,11.74,1.293,1.0547,6.6195,CD659 12cm rods
3/06/2019 11:08,S1P3B,KanWal,10.01,1.2648,1.0478,5.8597,CD659 12cm rods
3/06/2019 11:08,S1P3B,KanWal,8.96,1.2478,1.0499,5.4118,CD659 12cm rods
3/06/2019 11:08,S1P3B,KanWal,8.120001,1.2354,1.0645,5.0606,CD659 12cm rods
3/06/2019 11:08,S1P3B,KanWal,8.54,1.2422,1.0641,5.2332,CD659 12cm rods
3/06/2019 11:09,S1P3B,KanWal,9.35,1.2546,1.0535,5.5792,CD659 12cm rods
3/06/2019 11:09,S1P3C,Fes,12.51,1.3066,1.0796,6.9609,CD659 12cm rods
3/06/2019 11:09,S1P3C,Fes,7.76,1.2377,1.1421,4.9107,CD659 12cm rods
3/06/2019 11:09,S1P3C,Fes,10.53,1.2738,1.055,6.0873,CD659 12cm rods
3/06/2019 11:09,S1P3C,Fes,9.570001,1.2591,1.0648,5.6719,CD659 12cm rods
3/06/2019 11:10,S1P3C,Fes,8.81,1.2456,1.0518,5.3495,CD659 12cm rods
3/06/2019 11:10,S1P3D,Luc,11.3,1.2874,1.0745,6.4211,CD659 12cm rods
3/06/2019 11:10,S1P3D,Luc,10.49,1.2738,1.0631,6.07,CD659 12cm rods
