"","X","Date","Subplot.ID","Species","moisture.avg","moisture.sterror"
"1",1,"21-05-18","S1P7B","Bis",10.76,1.4586295
"2",2,"21-05-18","S1P8B","Bis",9.32,1.0622617
"3",3,"21-05-18","S2P1D","Bis",10.52,1.3893884
"4",4,"21-05-18","S2P2D","Bis",11.24,1.1885285
"5",5,"21-05-18","S3P7B","Bis",9.16,1.5432433
"6",6,"21-05-18","S3P8C","Bis",10.18,1.3469967
"7",7,"21-05-18","S4P7B","Bis",10.34,0.8744141
"8",8,"21-05-18","S4P8D","Bis",8.775,0.3705289
"9",9,"21-05-18","S5P1C","Bis",10.16,0.6079474
"10",10,"21-05-18","S5P2A","Bis",8.625,0.4385107
"11",11,"21-05-18","S6P7D","Bis",8.7,0.9391486
"12",12,"21-05-18","S6P8C","Bis",5.7,1.143241
"13",13,"21-05-18","S1P7D","Dig",10.36,1.7923727
"14",14,"21-05-18","S1P8A","Dig",11.58,1.5647364
"15",15,"21-05-18","S2P1A","Dig",10.66,1.7557335
"16",16,"21-05-18","S2P2B","Dig",10.92,0.7657676
"17",17,"21-05-18","S3P7D","Dig",9.76,1.7747112
"18",18,"21-05-18","S3P8D","Dig",10.54,1.1902101
"19",19,"21-05-18","S4P7A","Dig",8.28,0.2477902
"20",20,"21-05-18","S4P8C","Dig",9.06,0.7222188
"21",21,"21-05-18","S5P1B","Dig",10.84,1.1029959
"22",22,"21-05-18","S5P2B","Dig",11.88,0.3168596
"23",23,"21-05-18","S6P7B","Dig",9.68,0.7116179
"24",24,"21-05-18","S6P8B","Dig",9.082,1.1731684
"25",25,"21-05-18","S1P7A","DigBis",11.88,0.6959885
"26",26,"21-05-18","S1P8C","DigBis",10.32,1.2302032
"27",27,"21-05-18","S2P1B","DigBis",10.46,1.020098
"28",28,"21-05-18","S2P2C","DigBis",13.44,0.4781213
"29",29,"21-05-18","S3P7C","DigBis",10.14,1.3937719
"30",30,"21-05-18","S3P8A","DigBis",8.44,0.9019978
"31",31,"21-05-18","S4P7C","DigBis",10.78,0.6658829
"32",32,"21-05-18","S4P8A","DigBis",10,1.196662
"33",33,"21-05-18","S5P1D","DigBis",10.66,0.5921149
"34",34,"21-05-18","S5P2C","DigBis",9.64,0.9113726
"35",35,"21-05-18","S6P7C","DigBis",9.02,0.7378347
"36",36,"21-05-18","S6P8A","DigBis",10.6,0.617252
"37",37,"21-05-18","S1P3C","Fes",10.04,1.2647529
"38",38,"21-05-18","S1P4A","Fes",8.58,0.8169455
"39",39,"21-05-18","S1P5C","Fes",7.28,0.7952358
"40",40,"21-05-18","S1P6B","Fes",6.72,1.0096534
"41",41,"21-05-18","S2P3C","Fes",8.22,0.9420191
"42",42,"21-05-18","S2P4C","Fes",7.44,0.8692526
"43",43,"21-05-18","S2P5B","Fes",7.32,1.6886089
"44",44,"21-05-18","S2P6D","Fes",6.92,0.2905168
"45",45,"21-05-18","S3P3D","Fes",7.4,0.6511528
"46",46,"21-05-18","S3P4B","Fes",7.26,0.5192302
"47",47,"21-05-18","S3P5D","Fes",8.34,0.7865113
"48",48,"21-05-18","S3P6B","Fes",9.88,1.5366847
"49",49,"21-05-18","S4P3B","Fes",8.64,0.2803569
"50",50,"21-05-18","S4P4C","Fes",9.2,0.6
"51",51,"21-05-18","S4P5A","Fes",9.58,0.5651548
"52",52,"21-05-18","S4P6A","Fes",8.2,0.8258329
"53",53,"21-05-18","S5P3A","Fes",7.74,0.9152049
"54",54,"21-05-18","S5P4A","Fes",8.66,0.5455273
"55",55,"21-05-18","S5P5D","Fes",8.24,0.6305553
"56",56,"21-05-18","S5P6C","Fes",8.18,0.2332381
"57",57,"21-05-18","S6P3D","Fes",8.32,0.5756735
"58",58,"21-05-18","S6P4C","Fes",8.34,0.5555178
"59",59,"21-05-18","S6P5D","Fes",9.725,2.5856576
"60",60,"21-05-18","S6P6B","Fes",7.76,0.5912698
"61",61,"21-05-18","S1P1C","Kan",14.575,1.3864673
"62",62,"21-05-18","S1P2D","Kan",11.96,0.4925444
"63",63,"21-05-18","S2P7C","Kan",10.6,1.8201648
"64",64,"21-05-18","S2P8D","Kan",11.4666667,0.2962731
"65",65,"21-05-18","S3P1D","Kan",10.675,1.1528046
"66",66,"21-05-18","S3P2A","Kan",9.92,1.3828955
"67",67,"21-05-18","S4P1D","Kan",10.74,0.9511046
"68",68,"21-05-18","S4P2C","Kan",9.975,0.5452446
"69",69,"21-05-18","S5P7C","Kan",8.74,1.0966312
"70",70,"21-05-18","S5P8D","Kan",11.46,0.7075309
"71",71,"21-05-18","S6P1B","Kan",10.28,1.4530657
"72",72,"21-05-18","S6P2A","Kan",10.52,1.4242191
"73",73,"21-05-18","S1P3B","KanWal",14.52,0.8446301
"74",74,"21-05-18","S1P4D","KanWal",11.68,1.3376846
"75",75,"21-05-18","S1P5A","KanWal",14.72,1.2535549
"76",76,"21-05-18","S1P6C","KanWal",12.7,1.3217413
"77",77,"21-05-18","S2P3D","KanWal",11.24,0.5249762
"78",78,"21-05-18","S2P4D","KanWal",14.02,1.2611106
"79",79,"21-05-18","S2P5D","KanWal",12.42,0.6770524
"80",80,"21-05-18","S2P6B","KanWal",10.7,1.4042792
"81",81,"21-05-18","S3P3C","KanWal",13.94,1.9009471
"82",82,"21-05-18","S3P4A","KanWal",13.44,1.1728598
"83",83,"21-05-18","S3P5B","KanWal",13.64,1.2135073
"84",84,"21-05-18","S3P6D","KanWal",14.18,1.0836974
"85",85,"21-05-18","S4P3A","KanWal",13.05,1.7955965
"86",86,"21-05-18","S4P4B","KanWal",13.04,0.7201389
"87",87,"21-05-18","S4P5D","KanWal",14.44,1.027424
"88",88,"21-05-18","S4P6B","KanWal",12.92,0.9079648
"89",89,"21-05-18","S5P3B","KanWal",12.25,1.4980543
"90",90,"21-05-18","S5P4C","KanWal",14.3,1.6679329
"91",91,"21-05-18","S5P5A","KanWal",11.78,1.5467385
"92",92,"21-05-18","S5P6B","KanWal",14.68,0.4352011
"93",93,"21-05-18","S6P3A","KanWal",14.28,1.2167169
"94",94,"21-05-18","S6P4B","KanWal",11.76,1.9080356
"95",95,"21-05-18","S6P5C","KanWal",13.76,1.0077698
"96",96,"21-05-18","S6P6A","KanWal",15.4,0.9974969
"97",97,"21-05-18","S1P3D","Luc",9.34,0.5409251
"98",98,"21-05-18","S1P4C","Luc",8.04,0.8411896
"99",99,"21-05-18","S1P5B","Luc",9.38,1.9538168
"100",100,"21-05-18","S1P6A","Luc",7.48,1.7582378
"101",101,"21-05-18","S2P3B","Luc",9.26,1.0082658
"102",102,"21-05-18","S2P4A","Luc",7.74,0.9426558
"103",103,"21-05-18","S2P5C","Luc",11.76,0.3668787
"104",104,"21-05-18","S2P6A","Luc",9.74,1.1681609
"105",105,"21-05-18","S3P3B","Luc",7.86,0.5732364
