Lab,Harvest,Date,PlotType,NoSp,Sp1,Sp2,SubplotID
PACE-Power,Aboveground harvest,Oct-19,Bis,1,Biserrula,NA,S1P7B
PACE-Power,Aboveground harvest,Oct-19,Bis,1,Biserrula,NA,S1P8B
PACE-Power,Aboveground harvest,Oct-19,Bis,1,Biserrula,NA,S2P1D
PACE-Power,Aboveground harvest,Oct-19,Bis,1,Biserrula,NA,S2P2D
PACE-Power,Aboveground harvest,Oct-19,Bis,1,Biserrula,NA,S3P7B
PACE-Power,Aboveground harvest,Oct-19,Bis,1,Biserrula,NA,S3P8C
PACE-Power,Aboveground harvest,Oct-19,Bis,1,Biserrula,NA,S4P7B
PACE-Power,Aboveground harvest,Oct-19,Bis,1,Biserrula,NA,S4P8D
PACE-Power,Aboveground harvest,Oct-19,Bis,1,Biserrula,NA,S5P1C
PACE-Power,Aboveground harvest,Oct-19,Bis,1,Biserrula,NA,S5P2A
PACE-Power,Aboveground harvest,Oct-19,Bis,1,Biserrula,NA,S6P7D
PACE-Power,Aboveground harvest,Oct-19,Bis,1,Biserrula,NA,S6P8C
PACE-Power,Aboveground harvest,Oct-19,Dig,1,Digit,NA,S1P7D
PACE-Power,Aboveground harvest,Oct-19,Dig,1,Digit,NA,S1P8A
PACE-Power,Aboveground harvest,Oct-19,Dig,1,Digit,NA,S2P1A
PACE-Power,Aboveground harvest,Oct-19,Dig,1,Digit,NA,S2P2B
PACE-Power,Aboveground harvest,Oct-19,Dig,1,Digit,NA,S3P7D
PACE-Power,Aboveground harvest,Oct-19,Dig,1,Digit,NA,S3P8D
PACE-Power,Aboveground harvest,Oct-19,Dig,1,Digit,NA,S4P7A
PACE-Power,Aboveground harvest,Oct-19,Dig,1,Digit,NA,S4P8C
PACE-Power,Aboveground harvest,Oct-19,Dig,1,Digit,NA,S5P1B
PACE-Power,Aboveground harvest,Oct-19,Dig,1,Digit,NA,S5P2B
PACE-Power,Aboveground harvest,Oct-19,Dig,1,Digit,NA,S6P7B
PACE-Power,Aboveground harvest,Oct-19,Dig,1,Digit,NA,S6P8B
PACE-Power,Aboveground harvest,Oct-19,DigBis,2,Digit,Biserrula,S1P7A
PACE-Power,Aboveground harvest,Oct-19,DigBis,2,Digit,Biserrula,S1P8C
PACE-Power,Aboveground harvest,Oct-19,DigBis,2,Digit,Biserrula,S2P1B
PACE-Power,Aboveground harvest,Oct-19,DigBis,2,Digit,Biserrula,S2P2C
PACE-Power,Aboveground harvest,Oct-19,DigBis,2,Digit,Biserrula,S3P7C
PACE-Power,Aboveground harvest,Oct-19,DigBis,2,Digit,Biserrula,S3P8A
PACE-Power,Aboveground harvest,Oct-19,DigBis,2,Digit,Biserrula,S4P7C
PACE-Power,Aboveground harvest,Oct-19,DigBis,2,Digit,Biserrula,S4P8A
PACE-Power,Aboveground harvest,Oct-19,DigBis,2,Digit,Biserrula,S5P1D
PACE-Power,Aboveground harvest,Oct-19,DigBis,2,Digit,Biserrula,S5P2C
PACE-Power,Aboveground harvest,Oct-19,DigBis,2,Digit,Biserrula,S6P7C
PACE-Power,Aboveground harvest,Oct-19,DigBis,2,Digit,Biserrula,S6P8A
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S1P3C
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S1P4A
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S1P5C
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S1P6B
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S2P3C
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S2P4C
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S2P5B
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S2P6D
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S3P3D
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S3P4B
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S3P5D
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S3P6B
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S4P3B
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S4P4C
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S4P5A
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S4P6A
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S5P3A
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S5P4A
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S5P5D
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S5P6C
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S6P3D
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S6P4C
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S6P5D
PACE-Power,Aboveground harvest,Oct-19,Fes,1,Fescue,NA,S6P6B
PACE-Power,Aboveground harvest,Oct-19,Kan,1,Kangaroo,NA,S1P1C
PACE-Power,Aboveground harvest,Oct-19,Kan,1,Kangaroo,NA,S1P2D
PACE-Power,Aboveground harvest,Oct-19,Kan,1,Kangaroo,NA,S2P7C
PACE-Power,Aboveground harvest,Oct-19,Kan,1,Kangaroo,NA,S2P8D
PACE-Power,Aboveground harvest,Oct-19,Kan,1,Kangaroo,NA,S3P1D
PACE-Power,Aboveground harvest,Oct-19,Kan,1,Kangaroo,NA,S3P2A
PACE-Power,Aboveground harvest,Oct-19,Kan,1,Kangaroo,NA,S4P1D
PACE-Power,Aboveground harvest,Oct-19,Kan,1,Kangaroo,NA,S4P2C
PACE-Power,Aboveground harvest,Oct-19,Kan,1,Kangaroo,NA,S5P7C
PACE-Power,Aboveground harvest,Oct-19,Kan,1,Kangaroo,NA,S5P8D
PACE-Power,Aboveground harvest,Oct-19,Kan,1,Kangaroo,NA,S6P1B
PACE-Power,Aboveground harvest,Oct-19,Kan,1,Kangaroo,NA,S6P2A
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S1P3B
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S1P4D
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S1P5A
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S1P6C
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S2P3D
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S2P4D
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S2P5D
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S2P6B
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S3P3C
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S3P4A
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S3P5B
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S3P6D
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S4P3A
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S4P4B
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S4P5D
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S4P6B
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S5P3B
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S5P4C
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S5P5A
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S5P6B
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S6P3A
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S6P4B
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S6P5C
PACE-Power,Aboveground harvest,Oct-19,KanWal,2,Kangaroo,Wallaby,S6P6A
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S1P3D
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S1P4C
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S1P5B
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S1P6A
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S2P3B
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S2P4A
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S2P5C
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S2P6A
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S3P3B
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S3P4C
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S3P5C
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S3P6C
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S4P3D
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S4P4D
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S4P5C
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S4P6D
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S5P3C
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S5P4D
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S5P5B
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S5P6A
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S6P3B
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S6P4D
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S6P5A
PACE-Power,Aboveground harvest,Oct-19,Luc,1,Lucerne,NA,S6P6D
PACE-Power,Aboveground harvest,Oct-19,Pha,1,Phalaris,NA,S1P1D
PACE-Power,Aboveground harvest,Oct-19,Pha,1,Phalaris,NA,S1P2A
PACE-Power,Aboveground harvest,Oct-19,Pha,1,Phalaris,NA,S2P7A
PACE-Power,Aboveground harvest,Oct-19,Pha,1,Phalaris,NA,S2P8B
PACE-Power,Aboveground harvest,Oct-19,Pha,1,Phalaris,NA,S3P1C
PACE-Power,Aboveground harvest,Oct-19,Pha,1,Phalaris,NA,S3P2C
PACE-Power,Aboveground harvest,Oct-19,Pha,1,Phalaris,NA,S4P1A
PACE-Power,Aboveground harvest,Oct-19,Pha,1,Phalaris,NA,S4P2A
PACE-Power,Aboveground harvest,Oct-19,Pha,1,Phalaris,NA,S5P7B
PACE-Power,Aboveground harvest,Oct-19,Pha,1,Phalaris,NA,S5P8C
PACE-Power,Aboveground harvest,Oct-19,Pha,1,Phalaris,NA,S6P1A
PACE-Power,Aboveground harvest,Oct-19,Pha,1,Phalaris,NA,S6P2C
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S1P3A
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S1P4B
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S1P5D
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S1P6D
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S2P3A
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S2P4B
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S2P5A
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S2P6C
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S3P3A
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S3P4D
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S3P5A
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S3P6A
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S4P3C
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S4P4A
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S4P5B
