Shelter,SensorType,SensorCode,Plot,Sp,Position,Treatment
1,TDR,VW_Avg.1.,1,RYE,Upper,AmbDrt
1,TDR,VW_Avg.2.,2,RYE,Upper,AmbCon
1,TDR,VW_Avg.3.,3,LUC,Upper,AmbDrt
1,TDR,VW_Avg.4.,3,LUC,Lower,AmbDrt
1,TDR,VW_Avg.5.,3,FES,Upper,AmbDrt
1,TDR,VW_Avg.6.,4,FES,Upper,EleCon
1,TDR,VW_Avg.7.,4,LUC,Upper,EleCon
1,TDR,VW_Avg.8.,4,LUC,Lower,EleCon
1,TDR,VW_Avg.9.,5,FES,Upper,EleDrt
1,TDR,VW_Avg.10.,5,LUC,Upper,EleDrt
1,TDR,VW_Avg.11.,5,LUC,Lower,EleDrt
1,TDR,VW_Avg.12.,6,LUC,Upper,AmbCon
1,TDR,VW_Avg.13.,6,LUC,Lower,AmbCon
1,TDR,VW_Avg.14.,6,FES,Upper,AmbCon
1,TDR,VW_Avg.15.,7,BIS,Upper,AmbDrt
1,TDR,VW_Avg.16.,8,BIS,Upper,AmbCon
2,TDR,VW_Avg.1.,1,BIS,Upper,AmbCon
2,TDR,VW_Avg.2.,2,BIS,Upper,AmbDrt
2,TDR,VW_Avg.3.,3,LUC,Upper,EleDrt
2,TDR,VW_Avg.4.,3,LUC,Lower,EleDrt
2,TDR,VW_Avg.5.,3,FES,Upper,EleDrt
2,TDR,VW_Avg.6.,4,LUC,Lower,AmbDrt
2,TDR,VW_Avg.7.,4,LUC,Upper,AmbDrt
2,TDR,VW_Avg.8.,4,FES,Upper,AmbDrt
2,TDR,VW_Avg.9.,5,LUC,Upper,AmbCon
2,TDR,VW_Avg.10.,5,LUC,Lower,AmbCon
2,TDR,VW_Avg.11.,5,FES,Upper,AmbCon
2,TDR,VW_Avg.12.,6,LUC,Upper,EleCon
2,TDR,VW_Avg.13.,6,LUC,Lower,EleCon
2,TDR,VW_Avg.14.,6,FES,Upper,EleCon
2,TDR,VW_Avg.15.,7,RYE,Upper,AmbDrt
2,TDR,VW_Avg.16.,8,RYE,Upper,AmbCon
3,TDR,VW_Avg.1.,1,RYE,Upper,AmbCon
3,TDR,VW_Avg.2.,2,RYE,Upper,AmbDrt
3,TDR,VW_Avg.3.,3,FES,Upper,AmbCon
3,TDR,VW_Avg.4.,3,LUC,Upper,AmbCon
3,TDR,VW_Avg.5.,3,LUC,Lower,AmbCon
3,TDR,VW_Avg.6.,4,LUC,Upper,EleCon
3,TDR,VW_Avg.7.,4,LUC,Lower,EleCon
3,TDR,VW_Avg.8.,4,FES,Upper,EleCon
3,TDR,VW_Avg.9.,5,FES,Upper,EleDrt
3,TDR,VW_Avg.10.,5,LUC,Upper,EleDrt
3,TDR,VW_Avg.11.,5,LUC,Lower,EleDrt
3,TDR,VW_Avg.12.,6,LUC,Upper,AmbDrt
3,TDR,VW_Avg.13.,6,LUC,Lower,AmbDrt
3,TDR,VW_Avg.14.,6,FES,Upper,AmbDrt
3,TDR,VW_Avg.15.,7,BIS,Upper,AmbDrt
3,TDR,VW_Avg.16.,8,BIS,Upper,AmbCon
4,TDR,VW_Avg.1.,1,RYE,Upper,AmbCon
4,TDR,VW_Avg.2.,2,RYE,Upper,AmbDrt
4,TDR,VW_Avg.3.,3,LUC,Upper,EleCon
4,TDR,VW_Avg.4.,3,LUC,Lower,EleCon
4,TDR,VW_Avg.5.,3,FES,Upper,EleCon
4,TDR,VW_Avg.6.,4,LUC,Upper,AmbDrt
4,TDR,VW_Avg.7.,4,LUC,Lower,AmbDrt
4,TDR,VW_Avg.8.,4,FES,Upper,AmbDrt
4,TDR,VW_Avg.9.,5,FES,Upper,AmbCon
4,TDR,VW_Avg.10.,5,LUC,Upper,AmbCon
4,TDR,VW_Avg.11.,5,LUC,Lower,AmbCon
4,TDR,VW_Avg.12.,6,FES,Upper,EleDrt
4,TDR,VW_Avg.13.,6,LUC,Upper,EleDrt
4,TDR,VW_Avg.14.,6,LUC,Lower,EleDrt
4,TDR,VW_Avg.15.,7,BIS,Upper,AmbCon
4,TDR,VW_Avg.16.,8,BIS,Upper,AmbDrt
5,TDR,VW_Avg.1.,1,BIS,Upper,AmbDrt
5,TDR,VW_Avg.2.,2,BIS,Upper,AmbCon
5,TDR,VW_Avg.3.,3,FES,Upper,EleCon
5,TDR,VW_Avg.4.,3,LUC,Upper,EleCon
5,TDR,VW_Avg.5.,3,LUC,Lower,EleCon
5,TDR,VW_Avg.6.,4,FES,Upper,AmbDrt
5,TDR,VW_Avg.7.,4,LUC,Upper,AmbDrt
5,TDR,VW_Avg.8.,4,LUC,Lower,AmbDrt
5,TDR,VW_Avg.9.,5,LUC,Upper,EleDrt
5,TDR,VW_Avg.10.,5,FES,Upper,EleDrt
5,TDR,VW_Avg.11.,5,LUC,Lower,EleDrt
5,TDR,VW_Avg.12.,6,LUC,Upper,AmbCon
5,TDR,VW_Avg.13.,6,LUC,Lower,AmbCon
5,TDR,VW_Avg.14.,6,FES,Upper,AmbCon
5,TDR,VW_Avg.15.,7,RYE,Upper,AmbDrt
5,TDR,VW_Avg.16.,8,RYE,Upper,AmbCon
6,TDR,VW_Avg.1.,1,RYE,Upper,AmbCon
6,TDR,VW_Avg.2.,2,RYE,Upper,AmbDrt
6,TDR,VW_Avg.3.,3,LUC,Upper,EleDrt
6,TDR,VW_Avg.4.,3,LUC,Lower,EleDrt
6,TDR,VW_Avg.5.,3,FES,Upper,EleDrt
6,TDR,VW_Avg.6.,4,FES,Upper,AmbCon
6,TDR,VW_Avg.7.,4,LUC,Upper,AmbCon
6,TDR,VW_Avg.8.,4,LUC,Lower,AmbCon
6,TDR,VW_Avg.9.,5,LUC,Upper,EleCon
6,TDR,VW_Avg.10.,5,LUC,Lower,EleCon
6,TDR,VW_Avg.11.,5,FES,Upper,EleCon
6,TDR,VW_Avg.12.,6,LUC,Upper,AmbDrt
6,TDR,VW_Avg.13.,6,LUC,Lower,AmbDrt
6,TDR,VW_Avg.14.,6,FES,Upper,AmbDrt
6,TDR,VW_Avg.15.,7,BIS,Upper,AmbDrt
6,TDR,VW_Avg.16.,8,BIS,Upper,AmbCon
1,Temp,TSoil_Avg.1.,3,LUC,Upper,AmbDrt
1,Temp,TSoil_Avg.2.,3,FES,Upper,AmbDrt
1,Temp,TSoil_Avg.3.,4,FES,Upper,EleCon
1,Temp,TSoil_Avg.4.,4,LUC,Upper,EleCon
1,Temp,TSoil_Avg.5.,5,LUC,Upper,EleDrt
1,Temp,TSoil_Avg.6.,5,FES,Upper,EleDrt
1,Temp,TSoil_Avg.7.,6,LUC,Upper,AmbCon
1,Temp,TSoil_Avg.8.,6,FES,Upper,AmbCon
2,Temp,TSoil_Avg.1.,3,LUC,Upper,EleDrt
2,Temp,TSoil_Avg.2.,3,FES,Upper,EleDrt
2,Temp,TSoil_Avg.3.,4,LUC,Upper,AmbDrt
2,Temp,TSoil_Avg.4.,4,FES,Upper,AmbDrt
2,Temp,TSoil_Avg.5.,5,LUC,Upper,AmbCon
2,Temp,TSoil_Avg.6.,5,FES,Upper,AmbCon
2,Temp,TSoil_Avg.7.,6,LUC,Upper,EleCon
2,Temp,TSoil_Avg.8.,6,FES,Upper,EleCon
3,Temp,TSoil_Avg.1.,3,FES,Upper,AmbCon
3,Temp,TSoil_Avg.2.,3,LUC,Upper,AmbCon
3,Temp,TSoil_Avg.3.,4,LUC,Upper,EleCon
3,Temp,TSoil_Avg.4.,4,FES,Upper,EleCon
3,Temp,TSoil_Avg.5.,5,FES,Upper,EleDrt
3,Temp,TSoil_Avg.6.,5,LUC,Upper,EleDrt
